"Reference","Value","Footprint","JLC PCB Part #"
"C201","10nF","GCM188R72A103KA37J:CAPC1608X90N","C2167085"
"C202,C208","0.1uF","GCM155R71A104KA55D:CAP_GCM15_1p05X0p55X0p55_MUR-L","C161163"
"C203,C204,C205,C207","1uF","C0603C105K8RACAUTO:CAPC18095_95N_KEM-L","C29936"
"C206","4.7uF","C2012X7R1A475M125AC:CAP_2012_TDK-L","C277499"
"C301,C302,C303,C304,C305,C306,C307,C308,C309,C310,C311,C312,C313,C314,C315,C316,C317,C318,C319,C320,C321,C322,C323,C324,C325,C326,C327,C328,C329,C330","0.47uF","GCM188R71C474KA55D:G-188_MUR-L","C161214"
"C601","0.22uF","GCM31MR72A224KA37L:G-31_MUR-L","C161277"
"C701,C702,C707,C708","2200pF","1206J2K00222KXR (1):CAPC3216X160N","C107194"
"C703,C704,C705,C706","220pF","CL10B221JB8NNNC:CAP_CL10_SAM-L","C107081"
"D701,D702","24V","Package_TO_SOT_SMD:SOT-23","C314266"
"F301,F302,F303,F304,F305,F306,F307,F308,F309,F310,F311,F323,F324,F325,F326","0438.250WRA","Fuse:Fuse_0603_1608Metric","C151137"
"F312,F313,F314,F315,F316,F317,F318,F319,F320,F321,F322,F327,F328,F329,F330","0686F1000-01","0686F1000-01:FUSC1608X60N","C136329"
"FL701,FL702","470uH","KiCad:744242471","C488250"
"Q601","ZXTN4004KTC","ZXTN4004KTC:ZXTN4004KTC","C157603"
"R201","30","ERJ-3EKF30R0V:RC0603N_PAN-L","C403150"
"R301,R302,R303,R304,R305,R306,R307,R308,R309,R310,R311,R323,R324,R325,R326","7.5","Resistor_SMD:R_1812_4532Metric","C5204035"
"R312,R313,R314,R315,R316,R317,R318,R319,R320,R321,R322,R327,R328,R329,R330","100","Resistor_SMD:R_0603_1608Metric","C5123580"
"R601","100","CRCW2010100RFKEF:RES_CRCW_2010-L","C305269"
"R602","200","Resistor_SMD:R_2512_6332Metric","C2935248"
"R701,R702,R705,R706,R709,R710,R713,R714,R715,R716,R721,R722","0","CRCW08050000Z0EAHP:RES_CRCW_0805_VIS-L","C844811"
"R703,R704,R719,R720","0","RC0603JR-070RL:RC0603N_YAG-L","C95177"
"R707,R708,R717,R718","51","CRCW060351R0JNEA:RC0603N_VIS-L","C844178"
"R711,R712","1k","ERJ-3EKF1001V:RC0603N_PAN-L","C2907002"
"U201","BQ79614PAPRQ1","BQ79614:QFP_4PAPRQ1_TEX-L","C3682338"
